5g,en,Q1363408,Q4641059,Q16144068,Q3242492,Q95989652,Q62029351,Q4030649,Q28325018,Q94450582,Q54950623,Q3788758,Q104835197,Q16351696,Q65945794,Q16351700,Q60764252,Q104864054,Q104869129,Q67876968,Q84196185,Q90269287,Q61174831,Q60021939,Q78952270,Q65053087,Q105698506,Q65657795,Q1139227,Q59164601,Q102262228,Q100352795,Q102046793,Q48743094,Q100345034,Q55492060,Q98034074,Q86258962,Q102213449,Q107004581,Q32965980,Q56290343,Q29946898,Q96372820,Q105362477,Q59148412,Q6818101,Q59147277,Q107199270,Q97563171,Q65090058
70s purse,en,Q17014293,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
a,en,Q577,Q9659,Q25272,Q15277,Q47035155,Q19831453,Q744346,Q28980099,Q218642,Q126344,Q28047,Q40454,Q101395,Q110817,Q3813849,Q217208,Q41756356,Q25702467,Q300307,Q486334,Q19803442,Q235670,Q14870285,Q13406835,Q56887384,Q253623,Q2526255,Q101072,Q184377,Q5377,Q5339,Q217438,Q847,Q133056,Q4618975,Q79913,Q8454,Q158852,Q814722,Q55818,Q8452,Q242736,Q178122,Q170430,Q14660,Q30461,Q2472587,Q185187,Q40089,Q25670
abraham lincoln,en,Q91,Q2821841,Q166089,Q16001435,Q27807440,Q390994,Q4669003,Q4669009,Q10322725,Q4669012,Q63490052,Q49395882,Q4669004,Q4669011,Q63521732,Q4669008,Q4668998,Q51619402,Q55005599,Q91940279,Q80218434,Q20863305,Q587557,Q4669032,Q4669005,Q4669002,Q1438425,Q20011487,Q17507966,Q4669007,Q4669034,Q65044996,Q17509515,Q4669038,Q4669018,Q51603794,Q15623454,Q17509528,Q28402356,Q4669013,Q4669021,Q3525359,Q587707,Q1025404,Q4903312,Q7730887,Q4669054,Q3335588,Q330237,Q4668991
aceti,en,Q37311962,Q95570148,Q63123409,Q14509808,Q105062480,Q98094549,Q31794307,Q3619136,Q3604286,Q50695125,Q3992690,Q65563245,Q1368890,Q105475178,Q57014823,Q10325038,Q62874419,Q96183851,Q75844898,Q48672,Q58202692,Q10380081,Q21548141,Q63123421,Q63123418,Q63123414,Q67683741,Q79335481,Q59092870,Q76692130,Q69553493,Q81059836,Q76186890,Q78382089,Q80672868,Q68877725,Q73570421,Q71884784,Q59092890,Q59243636,Q77108928,Q72091104,Q37049366,Q37046341,Q80672863,Q70052345,Q66986634,Q67506944,Q76786781,Q67658862
Achuar people of Ecuador,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
ACTIVE SITE,en,Q423026,Q24778363,Q24724853,Q24783277,Q24769127,Q24726900,Q24776745,Q24788217,Q24723774,Q24723561,Q24780869,Q24770221,Q24788183,Q24788339,Q24783235,Q24741096,Q24724375,Q24777789,Q24783188,Q24784845,Q24722439,Q24740369,Q24721586,Q24788522,Q24738472,Q24769524,Q24738578,Q24785044,Q24720066,Q24724296,Q24766650,Q24766994,Q24724140,Q24779732,Q24722746,Q24786354,Q24722416,Q24738867,Q24779647,Q24726204,Q24787419,Q24719593,Q24785294,Q24766970,Q24721995,Q24781404,Q24768014,Q24725433,Q24770631,Q24719708
Actualite de france,fr,Q103851263,Q103853965,Q3201453,Q26085276,Q3187102,Q1344163,Q1277549,Q3404600,Q3590033,Q1810082,Q81627089,Q1450557,Q1450568,Q2701714,Q63967104,Q55220860,Q64624922,Q30306812,Q16024600,Q19952024,Q50216563,Q17624624,Q303074,Q55332370,Q7727374,Q104776140,Q60877169,Q42402151,Q47289204,Q49651900,Q78628219,Q97368663,Q47295031,Q74517699,Q64866585,Q60496139,Q72697865,Q72203294,Q674263,Q72098444,Q13391399,Q47502187,Q83692080,Q47165785,Q41730376,Q42037000,Q101139119,Q52286965,Q104804843,Q33107186
adam and eve,en,Q58701,Q15734109,Q351300,Q4678604,Q3605018,Q18614902,Q106839039,Q26689490,Q59526490,Q62111448,Q17520561,Q59492875,Q3605053,Q59543118,Q3605055,Q64515693,Q32903385,Q39064743,Q32903975,Q3605052,Q3898508,Q60021562,Q4680017,Q251866,Q4057254,Q20202590,Q91935667,Q64798480,Q91932420,Q28034157,Q9140599,Q64798495,Q34361622,Q21713117,Q22083984,Q64798508,Q106368235,Q27958782,Q20861164,Q105425346,Q3605058,Q18889274,Q29909579,Q19892016,Q16960276,Q9281692,Q1747999,Q2416141,Q97798432,Q4680016
address of Afghanistan air base,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY
