Big Ben,en,Q41225,Q4905080,Q858516,Q2902145,Q858503,Q342107,Q12785867,Q21937151,Q21939306,Q31473279,Q21937152,Q21966177,Q4905078,Q31708143,Q23959291,Q21963571,Q31708174,Q21963572,Q31708159,Q31676809,Q31880297,Q97331712,Q49399531,Q31688414,Q4905081,Q4905082,Q51622858,Q28042556,Q2676434,Q64539830,Q3599630,Q30901872,Q96278603,Q4905086,Q4905083,Q21958540,Q97331713,Q22413738,Q7249006,Q21938562,Q21918094,Q29096490,Q4687030,Q29075175,Q24263564,Q816453,Q3486618,Q295364,Q599161,Q537679,
Glow up bbc,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
goddess rea,en,Q41419,Q108419,Q40730,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
google logo,en,Q1764530,Q95,Q18156042,Q777,Q223563,Q171186,Q17943798,Q8927576,Q182496,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
google pay,en,Q19834616,Q2334242,Q40406186,Q42417874,Q29778,Q17670439,Q65930107,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
grade 1 math,en,Q63225320,Q18351361,Q58530435,Q58888769,Q58157440,Q99715616,Q99716875,Q59611483,Q36296568,Q99724554,Q99724657,Q58147118,Q47445765,Q99704166,Q99709216,Q104487388,Q99704731,Q92962077,Q47576380,Q56520101,Q36802968,Q99704207,Q99733993,Q56454947,Q57632797,Q99733989,Q99703820,Q99712704,Q30539940,Q99718251,Q30456842,Q90475175,Q36579098,Q34981472,Q91100345,Q47304121,Q50476035,Q99717879,Q57456121,Q33703971,Q30278624,Q39401500,Q39839580,Q33591290,Q36541483,Q62128581,Q47250290,Q59411128,Q99733710,Q99712583,
gräkobaktrisches reich,de,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Gran Muralla China,es,Q12501,Q1190340,Q1073622,Q1548160,Q97175310,Q19962569,Q1193122,Q1689619,Q15984181,Q708451,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Graphemes to phonemes,en,Q1148965,Q1033526,Q48569990,Q59589765,Q58245213,Q79908652,Q73815361,Q74438087,Q73337063,Q38498761,Q52324224,Q28255091,Q50433431,Q60042127,Q58270862,Q86048093,Q57712081,Q38496943,Q57404620,Q80406585,Q52201789,Q72576174,Q95644611,Q79487881,Q71161835,Q61434611,Q52324222,Q38495284,Q57404617,Q5371079,Q36026738,Q60512212,Q48633682,Q96608501,Q52338262,Q66825189,Q50685951,Q91572348,Q43051685,Q58777637,Q48478535,Q52599709,Q48136920,Q48986267,Q48433974,Q38483755,Q92751628,Q81491203,Q92197480,Q2986311,
graviton,en,Q103585,Q3115789,Q5598016,Q30639112,Q87283152,Q56968346,Q68596989,Q63390877,Q1193188,Q74416992,Q59577011,Q65683121,Q74425462,Q59578432,Q59688990,Q62398314,Q22065728,Q56048484,Q56978641,Q37600038,Q60154278,Q63390329,Q74428468,Q74423840,Q74431176,Q74506758,Q63390250,Q59254593,Q65615084,Q56936864,Q62598782,Q78050846,Q59307737,Q74425066,Q58626264,Q89358950,Q60154261,Q78045758,Q61687737,Q74422871,Q79417360,Q74422127,Q63432571,Q56978622,Q56978616,Q60154321,Q60154289,Q58663984,Q74559307,Q57771442,
greek pottery,en,Q633683,Q1503278,Q738680,Q755706,Q56993851,Q6624686,Q1074488,Q26213929,Q29654916,Q1515819,Q19899872,Q56825682,Q58683033,Q785498,Q3373275,Q981230,Q810719,Q1260235,Q58367546,Q1486592,Q59727398,Q629602,Q64366637,Q64366421,Q1497522,Q19969196,Q56825958,Q3664977,Q732286,Q15716815,Q15716957,Q15716775,Q15716872,Q15715822,Q15716667,Q15716362,Q50329322,Q1571719,Q15716481,Q15716837,Q15716315,Q15716841,Q15716686,Q15715752,Q59105381,Q59058327,Q15716821,Q56825703,Q64365938,Q64367269,
grigas london,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Grishn1079,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
grosser kudu hellabrunn tragelaphus,nl,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Gruber,en,Q1028313,Q99369291,Q1550241,Q99369856,Q80336716,Q27555434,Q64857953,Q42315659,Q466750,Q79125,Q50807199,Q1028303,Q45393929,Q112637,Q106390,Q10334443,Q361943,Q3808195,Q112224,Q85097188,Q104761807,Q1793607,Q13220220,Q506320,Q26709818,Q79654158,Q21514324,Q39066368,Q21514323,Q696877,Q2448401,Q6273289,Q526014,Q54238167,Q727595,Q513185,Q1121734,Q598959,Q1449623,Q1483071,Q28005902,Q28005905,Q28005903,Q104426673,Q28005907,Q104426553,Q28549299,Q104426554,Q28002096,Q1550246,
gulf states,en,Q488461,Q3473502,Q23669221,Q2218629,Q5617526,Q55241,Q5617524,Q16994625,Q5617531,Q19067244,Q31805707,Q31805708,Q1866968,Q5599279,Q731333,Q79669,Q217172,Q25345724,Q5617492,Q95428349,Q6554011,Q19031467,Q82081385,Q57448401,Q72342136,Q59577452,Q5617527,Q49250072,Q57919619,Q103018186,Q1536415,Q58135962,Q35729554,Q35732278,Q34813640,Q80912624,Q19067228,Q49635509,Q49669168,Q42310866,Q86767355,Q86766730,Q30298524,Q86766353,Q86767257,Q86766938,Q1425393,Q50039135,Q56491964,Q30324296,
guntschna,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
habsburg arms,en,Q16888389,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Haemisphaerium stellatum,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
hannah,en,Q1554377,Q26904122,Q2447100,Q1196204,Q2346367,Q15027366,Q5648775,Q5648774,Q4359124,Q38413707,Q5648777,Q15299777,Q33125557,Q22614842,Q39138052,Q5648769,Q21646464,Q57433855,Q55031688,Q16983231,Q60056028,Q29874822,Q8011702,Q24027270,Q60773059,Q60773132,Q96088117,Q98072284,Q96198240,Q60793127,Q60773717,Q96223466,Q99106169,Q97089023,Q96217527,Q96339864,Q96237441,Q96237513,Q96219195,Q96237431,Q60795889,Q47462523,Q98017777,Q96339863,Q96198909,Q207596,Q84765791,Q60025,Q126631,Q5649001,
häuser,en,Q72103810,Q1642491,Q1085196,Q41086613,Q15618598,Q15792072,Q62613523,Q104059918,Q62091737,Q102039632,Q101564700,Q100887705,Q101198090,Q102042778,Q100432331,Q1979552,Q101414446,Q2157631,Q1642496,Q56087410,Q30777500,Q99397097,Q15808689,Q104625658,Q1447357,Q1796538,Q2173004,Q95299521,Q18281087,Q1584556,Q1597678,Q29574397,Q85007078,Q23786318,Q57580148,Q101573634,Q1299353,Q95081382,Q72662233,Q78206046,Q85001414,Q21039507,Q84953492,Q1438961,Q1375863,Q85000677,Q104150247,Q1338990,Q85019271,Q38390617,
"Hazrat Nusaybah bint Ka'ab, also known as Umm ʿAmmarah",en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
heart strings,en,Q5692101,Q3783926,Q48674552,Q5692103,Q3783925,Q104877960,Q104866033,Q20735540,Q18667429,Q1034655,Q1034666,Q7624037,Q46002881,Q96849267,Q86075070,Q8072369,Q27733184,Q51002514,Q46072796,Q92635461,Q51067299,Q1076385,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
hearth,en,Q585473,Q37120104,Q30289878,Q79301515,Q55804297,Q80018165,Q20194594,Q182995,Q2361901,Q7739221,Q5692766,Q51897047,Q61930937,Q55688181,Q4749237,Q80582893,Q4040455,Q7205184,Q59320557,Q18150559,Q6483068,Q27958123,Q45728,Q1729280,Q1420570,Q7739222,Q17148507,Q80583144,Q1113886,Q103323993,Q825220,Q5683959,Q25220844,Q6522859,Q3986454,Q3986456,Q21527577,Q20004616,Q73903726,Q7723455,Q15714162,Q102063751,Q1168398,Q19106078,Q84688942,Q19030777,Q7714870,Q56146851,Q5692764,Q13581294,
henderson nv,en,Q99474540,Q49267,Q47522985,Q27724955,Q99474541,Q99433663,Q74844107,Q20241123,Q69485038,Q43341953,Q6492679,Q67167985,Q43698805,Q78380748,Q67507458,Q6492681,Q45335749,Q104454620,Q45335377,Q45334489,Q28220898,Q51570200,Q79357201,Q45335098,Q45334513,Q60163774,Q21161474,Q98707622,Q10423399,Q3623749,Q56385494,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Hep,en,Q1563523,Q751156,Q60521293,Q32143,Q29733984,Q81654768,Q24391992,Q29738843,Q29820880,Q542289,Q5731621,Q54882763,Q54882747,Q54882802,Q54882803,Q54882869,Q5972440,Q54953666,Q54882751,Q54900103,Q10522193,Q54882750,Q54882773,Q102114120,Q54882771,Q6048745,Q54882774,Q54882769,Q102114119,Q54882772,Q1546806,Q54882776,Q16201401,Q54882746,Q54882775,Q54882778,Q54882796,Q54882777,Q1607630,Q10522195,Q95070506,Q6305585,Q10695594,Q95982225,Q54882795,Q10538116,Q10673679,Q54882794,Q68935437,Q21528345,
heptogen,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
herman talmadge,en,Q356029,Q47508824,Q67726461,Q67610799,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Hi-hat,en,Q963334,Q5750379,Q5750197,Q11862514,Q18412405,Q63351237,Q74040759,Q6168339,Q10523820,Q74040779,Q60751198,Q58738429,Q30375274,Q24354,Q2913982,Q16996258,Q24046481,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
hindi god,en,Q5618483,Q360917,Q16248616,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
hindu manuscripts,en,Q80007074,Q80007055,Q78918234,Q50622549,Q80007060,Q80007077,Q78668948,Q80007079,Q422848,Q80007056,Q80007057,Q80007058,Q80007065,Q80007063,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Hippellozoon novaezelandiae,en,Q4178944,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
HMS WESTMINSTER,en,Q5634934,Q5634935,Q5634941,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Hou Xianguang,en,Q21388960,Q58337366,Q91649730,Q102333742,Q89936522,Q60204647,Q101405387,Q92457181,Q99572109,Q63071173,Q90054149,Q56785009,Q54632422,Q33968052,Q96302952,Q96693588,Q51717085,Q96122322,Q47211652,Q56698692,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
house wives of cheshire,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
